category_id,category_label,functional_focus,node_name,node_type,summary,probability
0,透過 + 事件,general,spotify,regular,透過 Spotify API 存取公共歌曲數據,0.8792941921119924
0,透過 + 事件,general,sticky note,regular,此節點可讓您在工作流程中添加便利的便條，以幫助更好理解流程。,0.7605079982613515
0,透過 + 事件,general,cron,regular,在特定時間觸發工作流程,0.7499999999999948
0,透過 + 事件,general,wait,regular,等待節點可讓工作流在執行過程中暫停一段時間，再繼續執行。,0.7499951023399283
0,透過 + 事件,general,venafi tls protect cloud,regular,此節點用於使用 Venafi TLS Protect Cloud API。,0.7307780413117586
0,透過 + 事件,general,webhook,regular,啟動工作流程當收到 webhook 時,0.7061979362785792
0,透過 + 事件,general,google cloud realtime database,regular,與 Google Firebase - Realtime Database API 進行互動。,0.6727545926336784
0,透過 + 事件,general,rss read,regular,此節點從 RSS Feed 中讀取數據。,0.6332421493310252
0,透過 + 事件,general,venafi tls protect datacenter,regular,此節點用於使用 Venafi TLS Protect Datacenter 服務，可用於管理憑證、策略以及自訂 API 呼叫。,0.5911364969396361
0,透過 + 事件,general,quickchart,regular,透過 QuickChart 創建圖表,0.5339555905251319
0,透過 + 事件,general,respond to webhook,regular,此節點用於回應 Webhook，根據設定回傳不同類型的數據。,0.4450881221018885
0,透過 + 事件,general,formIoTrigger,trigger,透過 Webhooks 處理 form.io 事件,0.9898254039914067
0,透過 + 事件,general,netlifyTrigger,trigger,透過 Webhooks 處理 Netlify 事件。,0.9888533703766216
0,透過 + 事件,general,activeCampaignTrigger,trigger,透過 Webhooks 處理 ActiveCampaign 事件。,0.9836441979146363
0,透過 + 事件,general,wise trigger,trigger,透過 Webhooks 處理 Wise 事件,0.9832532527961833
0,透過 + 事件,general,jotform trigger,trigger,透過 Webhooks 處理 JotForm 事件,0.9832530039034125
0,透過 + 事件,general,payPalTrigger,trigger,透過 Webhooks 處理 PayPal 事件。,0.9828429760409222
0,透過 + 事件,general,wufooTrigger,trigger,透過 Webhooks 處理 Wufoo 事件。,0.9828426696109275
0,透過 + 事件,general,taigaTrigger,trigger,透過 webhook 處理 Taiga 事件,0.98240969836513
0,透過 + 事件,general,emelia trigger,trigger,透過 Webhooks 處理 Emelia 活動事件,0.9809775003663022
0,透過 + 事件,general,mailchimp trigger,trigger,透過 Webhooks 處理 Mailchimp 事件。,0.9786576820814327
0,透過 + 事件,general,clickup trigger,trigger,透過 Webhooks 處理 ClickUp 事件（Beta 版）。,0.9786557404677693
0,透過 + 事件,general,kobotoolbox trigger,trigger,處理 KoBoToolbox 提交的資料。,0.9765089806029505
0,透過 + 事件,general,acuitySchedulingTrigger,trigger,透過 Webhooks 處理 Acuity Scheduling 事件。,0.9756923374449203
0,透過 + 事件,general,bitbucketTrigger,trigger,透過 Webhooks 處理 Bitbucket 事件。,0.9748190750058416
0,透過 + 事件,general,copper trigger,trigger,透過 Webhooks 處理 Copper 事件,0.9738799324208278
0,透過 + 事件,general,mauticTrigger,trigger,透過 Webhooks 處理 Mautic 事件。,0.9738789123030132
0,透過 + 事件,general,wooCommerceTrigger,trigger,透過 Webhooks 處理 WooCommerce 事件,0.9705877332740896
0,透過 + 事件,general,autopilotTrigger,trigger,透過 Webhooks 處理 Autopilot 事件。,0.9692977389797088
0,透過 + 事件,general,flowTrigger,trigger,透過 Webhooks 處理 Flow 事件,0.9692976079615757
0,透過 + 事件,general,gumroadTrigger,trigger,透過 Webhooks 處理 Gumroad 事件。,0.9663460562298752
0,透過 + 事件,general,webflowTrigger,trigger,處理 Webflow 事件通過 Webhooks,0.9627601005362046
0,透過 + 事件,general,salesforce trigger,trigger,此節點從 Salesforce 擷取數據並在指定的輪詢間隔開始工作流程。,0.9627575391707335
0,透過 + 事件,general,rss feed trigger,trigger,啟動工作流程當 RSS 資料源更新時。,0.9556958422367544
0,透過 + 事件,general,affinityTrigger,trigger,此節點可透過 Webhook 處理 Affinity 事件。,0.9556950081047302
0,透過 + 事件,general,gmailTrigger,trigger,此節點從 Gmail 中擷取郵件，並在指定的輪詢間隔啟動工作流程。,0.9556932733695265
0,透過 + 事件,general,googleCalendarTrigger,trigger,啟動工作流程，當 Google 日曆事件發生時觸發,0.9556917506957049
0,透過 + 事件,general,clockifyTrigger,trigger,此節點用於監聽 Clockify 事件。,0.9527003737286099
0,透過 + 事件,general,stripeTrigger,trigger,此節點用於通過 Webhooks 處理 Stripe 事件。,0.9492738685255317
0,透過 + 事件,general,shopify trigger,trigger,透過 Webhooks 處理 Shopify 事件。,0.940132849996757
0,透過 + 事件,general,typeformTrigger,trigger,啟動工作流程以回應 Typeform 表單提交。,0.9285590503133989
0,透過 + 事件,general,postmark trigger,trigger,啟動工作流程，當發生 Postmark 事件時觸發。,0.9102449229792964
0,透過 + 事件,general,convertkit trigger,trigger,透過 Webhooks 處理 ConvertKit 事件,0.9097203883437749
0,透過 + 事件,general,workableTrigger,trigger,啟動工作流程，當 Workable 事件發生時,0.854152869251609
0,透過 + 事件,general,mqttTrigger,trigger,此節點可監聽 MQTT 事件。,0.8541525187300615
0,透過 + 事件,general,eventbriteTrigger,trigger,透過 Webhooks 處理 Eventbrite 事件。,0.7942414225714834
0,透過 + 事件,general,asanaTrigger,trigger,此節點在發生 Asana 事件時啟動工作流程。,0.7896521522623859
0,透過 + 事件,general,slack trigger,trigger,透過 Webhooks 處理 Slack 事件,0.7874399145139515
0,透過 + 事件,general,mailjetTrigger,trigger,透過 Webhooks 處理 Mailjet 事件,0.77286778282465
0,透過 + 事件,general,microsoftOutlookTrigger,trigger,此節點從 Microsoft Outlook 擷取郵件，並在指定的輪詢間隔開始工作流程。,0.7094557245058776
0,透過 + 事件,general,keapTrigger,trigger,此節點在 Infusionsoft 事件發生時啟動工作流程。,0.6753965918650874
0,透過 + 事件,general,seaTable trigger,trigger,啟動工作流程，當 SeaTable 發生事件時觸發。,0.6405054531178092
0,透過 + 事件,general,venafi tls protect cloud trigger,trigger,此節點會在 Venafi 事件發生時啟動工作流程。,0.6344532126439247
0,透過 + 事件,general,facebookLeadAdsTrigger,trigger,處理 Facebook Lead Ads 事件通過 Webhooks。,0.6336914057913526
0,透過 + 事件,general,zendesk trigger,trigger,此節點用於通過 Webhook 處理 Zendesk 事件。,0.6329631585544145
0,透過 + 事件,general,lonescale trigger,trigger,觸發 LoneScale 工作流程。,0.6111055391408863
0,透過 + 事件,general,toggl trigger,trigger,啟動工作流程，當 Toggl 事件發生時觸發。,0.6023540912122173
